message	label
Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:	ham
Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.	ham
Cause I'm not freaky lol	ham
Yes. that will be fine. Love you. Be safe.	ham
Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.	ham
Are you still getting the goods.	ham
Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.	ham
Yes ammae....life takes lot of turns you can only sit and try to hold the steering...	ham
Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..	spam
Carry on not disturbing both of you	ham
Convey my regards to him	ham
So how many days since then?	ham
Ok... Help me ask if she's working tmr a not?	ham
Just nw i came to hme da..	ham
Oh. U must have taken your REAL Valentine out shopping first.	ham
I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.	ham
We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow	spam
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!	spam
Discussed with your mother ah?	ham
Lemme know when you're here	ham
Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16	spam
Sorry, I'll call later	ham
Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e	ham
Don know..he is watching film in computer..	ham
She's fine. Sends her greetings	ham
thanks for the temales it was wonderful. Thank. Have a great week.	ham
Have you started in skye	ham
Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo	ham
Then i buy.	ham
Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)	ham
IM GONNA MISS U SO MUCH	ham
No, but you told me you were going, before you got drunk!	ham
FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv	spam
Where r we meeting?	ham
Thank you. do you generally date the brothas?	ham
I'm stuck in da middle of da row on da right hand side of da lt... 	ham
Ugh hopefully the asus ppl dont randomly do a reformat.	ham
Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?	ham
No b4 Thursday	ham
The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible	ham
In which place do you want da.	ham
I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love	ham
It wont b until 2.15 as trying 2 sort house out, is that ok?	ham
Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.	ham
Damn, poor zac doesn't stand a chance	ham
Men like shorter ladies. Gaze up into his eyes.	ham
But you were together so you should be thinkin about him	ham
Did u download the fring app?	ham
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."	spam
Sorry da. I gone mad so many pending works what to do.	ham
Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.	ham
8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try	ham
My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.	ham
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt	spam
Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!	spam
o turns out i had stereo love on mi phone under the unknown album.	ham
Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?	ham
(And my man carlos is definitely coming by mu tonight, no excuses)	ham
Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?	ham
Convey my regards to him	ham
Do we have any spare power supplies	ham
Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite	ham
S da..al r above  &lt;#&gt;	ham
K:)k:)good:)study well.	ham
I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.	ham
Or remind me in a few hrs.	ham
U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM	ham
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+	spam
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs	spam
Then she dun believe wat?	ham
Prepare to be pounded every night...	ham
Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.	ham
I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.	ham
FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk	spam
It'll be tough, but I'll do what I have to	ham
I dunno lei... Like dun haf...	ham
HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x	ham
It's wylie, you in tampa or sarasota?	ham
Wat happened to the cruise thing	ham
Ew are you one of them?	ham
Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.	ham
* Am on a train back from northampton so i'm afraid not!	ham
U still going to the mall?	ham
Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...	ham
Sorry da thangam, very very sorry i am held up with prasad.	ham
U attend ur driving lesson how many times a wk n which day?	ham
They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..  	ham
Sday only joined.so training we started today:)	ham
Thanks chikku..:-) gud nyt:-*	ham
I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl	ham
Yun buying... But school got offer 2000 plus only...	ham
Sorry, I'll call later in meeting	ham
Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?	ham
And I don't plan on staying the night but I prolly won't be back til late	ham
Senthil group company Apnt 5pm.	ham
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"	ham
Oh is it? Send me the address	ham
Or ü go buy wif him then i meet ü later can?	ham
Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?	ham
"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk."	spam
From here after The performance award is calculated every two month.not for current one month period..	ham
Bognor it is! Should be splendid at this time of year.	ham
Dude just saw a parked car with its sunroof popped up. Sux	ham
Aight ill get on fb in a couple minutes	ham
Wat u doing there?	ham
Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...	ham
Dont let studying stress you out. L8r.	ham
I'm in town now so i'll jus take mrt down later.	ham
Guess who spent all last night phasing in and out of the fourth dimension	ham
88066 FROM 88066 LOST 3POUND HELP	spam
Ugh my leg hurts. Musta overdid it on mon.	ham
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.	spam
No da..today also i forgot..	ham
Ok i msg u b4 i leave my house.	ham
Customer place i will call you.	ham
Pls speak with me. I wont ask anything other then you friendship.	ham
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX	spam
Would really appreciate if you call me. Just need someone to talk to.	ham
No problem. Talk to you later	ham
Sorry man, accidentally left my phone on silent last night and didn't check it til I got up	ham
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a	spam
I love to wine and dine my lady!	ham
Wherre's my boytoy ? :-(	ham
Ok going to sleep. Hope i can meet her.	ham
Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832	spam
And very importantly, all we discuss is between u and i only.	ham
Wish u many many returns of the day.. Happy birthday vikky..	ham
Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!	spam
LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms	spam
Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired	ham
I'm on the bus. Love you	ham
Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee	ham
Yes fine 	ham
Dont worry. I guess he's busy.	ham
From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke	ham
Sorry, I'll call later	ham
Easy mate, * guess the quick drink was bit ambitious.	ham
You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327	spam
Can you just come in for a sec? There's somebody here I want you to see	ham
Yes. Rent is very expensive so its the way we save.	ham
Goodmorning,my grandfather expired..so am on leave today.	ham
Shall i get my pouch?	ham
I‘m parked next to a MINI!!!! When are you coming in today do you think?	ham
So how are you really. What are you up to. How's the masters. And so on.	ham
life alle mone,eppolum oru pole allalo	ham
I can't describe how lucky you are that I'm actually awake by noon	ham
How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.	ham
I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?	ham
Sorry, I'll call later	ham
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066	spam
Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk	spam
I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...	ham
Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*	ham
Huh so fast... Dat means u havent finished painting?	ham
I'm leaving my house now.	ham
So no messages. Had food?	ham
Waiting for your call.	ham
I want to show you the world, princess :) how about europe?	ham
How long does it take to get it.	ham
We got a divorce. Lol. She.s here	ham
Headin towards busetop	ham
Jos ask if u wana meet up?	ham
Okie...	ham
Can you plz tell me the ans. BSLVYL sent via fullonsms.com	ham
Lol no. I just need to cash in my nitros. Hurry come on before I crash out!	ham
Mmmm.... I cant wait to lick it!	ham
Howz that persons story	ham
I will spoil you in bed as well :)	ham
Please leave this topic..sorry for telling that..	ham
This is one of the days you have a billion classes, right?	ham
Howz that persons story	ham
Yup... From what i remb... I think should be can book... 	ham
I'm in a movie... Collect car oredi...	ham
Really do hope the work doesnt get stressful. Have a gr8 day.	ham
I dont know exactly could you ask chechi.	ham
I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay	ham
I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.	ham
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99	spam
Did you show him and wot did he say or could u not c him 4 dust?	ham
I need to come home and give you some good lovin...	ham
We not leaving yet. Ok lor then we go elsewhere n eat. U thk...	ham
I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.	ham
Vikky, come around  &lt;TIME&gt; ..	ham
Still work going on:)it is very small house.	ham
When u wana see it then	ham
I am great princess! What are you thinking about me? :)	ham
Lol wtf random. Btw is that your lunch break	ham
hanks lotsly!	ham
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery	spam
Don know. I did't msg him recently.	ham
When you guys planning on coming over?	ham
Yup having my lunch buffet now.. U eat already?	ham
It‘s reassuring, in this crazy world.	ham
Cool, I'll text you in a few	ham
Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)	ham
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.	spam
Nice talking to you! please dont forget my pix :) i want to see all of you...	ham
Ahhh. Work. I vaguely remember that! What does it feel like? Lol	ham
Could you not read me, my Love ? I answered you	ham
Dear got train and seat mine lower seat	ham
I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.	ham
* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train	ham
Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! 	ham
What about this one then.	ham
Yep then is fine 7.30 or 8.30 for ice age.	ham
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"	ham
my ex-wife was not able to have kids. Do you want kids one day?	ham
Staff of placement training in Amrita college.	ham
Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876	spam
Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.	ham
Does not operate after  &lt;#&gt;  or what	ham
Will it help if we propose going back again tomorrow	ham
Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...	ham
Reply to win £100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service	spam
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"	spam
FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242	spam
I called and said all to him:)then he have to choose this future.	ham
Also track down any lighters you can find	ham
Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text	spam
You still coming tonight?	ham
WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins	spam
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222	spam
Goodmorning today i am late for  &lt;DECIMAL&gt; min.	ham
If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around	ham
"Don't Think About ""What u Have Got"" Think About ""How to Use It That You Have Got"" gooD ni8"	ham
Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen	ham
Happy birthday... May all ur dreams come true...	ham
Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...	ham
Draw va?i dont think so:)	ham
Money i have won wining number 946 wot do i do next	spam
That's a shame! Maybe cld meet for few hrs tomo?	ham
Sorry im getting up now, feel really bad- totally rejected that kinda me thing.	ham
Yup, no need. I'll jus wait 4 e rain 2 stop.	ham
You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days	ham
No da if you run that it activate the full version da.	ham
FROM 88066 LOST £12 HELP	spam
You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm	spam
I'm ok. Will do my part tomorrow	ham
Da is good good player.why he is unsold.	ham
Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?	ham
Can you use foreign stamps for whatever you send them off for? 	ham
Today my system sh get ready.all is well and i am also in the deep well	ham
Thats cool. i am a gentleman and will treat you with dignity and respect.	ham
Shall i come to get pickle	ham
Does daddy have a bb now.	ham
Tell me something. Thats okay.	ham
Sent me ur email id soon	ham
Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p	spam
25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.	spam
You in your room? I need a few	ham
Smith waste da.i wanna gayle.	ham
OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx	ham
Ok. But i finish at 6.	ham
Its ok my arm is feeling weak cuz i got a shot so we can go another time	ham
Ok lar... Joking wif u oni...	ham
Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412	spam
Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash	ham
FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com	spam
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm	spam
Still chance there. If you search hard you will get it..let have a try :)	ham
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt	spam
Enjoy ur life. . Good night	ham
R we going with the  &lt;#&gt;  bus?	ham
I plane to give on this month end.	ham
Did u got that persons story	ham
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.	ham
Ha. You don‘t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.	ham
Thts god's gift for birds as humans hav some natural gift frm god..	ham
You still around? I could use a half-8th	ham
Eh u send wrongly lar...	ham
Yup next stop.	ham
Ok... I din get ur msg...	ham
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu	ham
You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18	spam
THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x	ham
I am taking you for italian food. How about a pretty dress with no panties? :)	ham
Will you be here for food	ham
Thanks. It was only from tescos but quite nice. All gone now. Speak soon 	ham
How. Its a little difficult but its a simple way to enter this place	ham
Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.	ham
"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)"	spam
Hm good morning, headache anyone? :-)	ham
Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!	spam
Sure, I'll see if I can come by in a bit	ham
Yeah imma come over cause jay wants to do some drugs	ham
Yeah hopefully, if tyler can't do it I could maybe ask around a bit	ham
Should I have picked up a receipt or something earlier	ham
My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?	ham
Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want	ham
Yup i'm elaborating on the safety aspects and some other issues..	ham
Then why you not responding	ham
What time. I‘m out until prob 3 or so	ham
Me n him so funny...	ham
Mah b, I'll pick it up tomorrow	ham
U repeat e instructions again. Wat's e road name of ur house?	ham
Already am squatting is the new way of walking	ham
I'll pick you up at about 5.15pm to go to taunton if you still want to come.	ham
Okay, good, no problem, and thanx!	ham
Ok... C ya...	ham
Have you seen who's back at Holby?!	ham
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50	spam
No management puzzeles.	ham
Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?	ham
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx	ham
Just looked it up and addie goes back Monday, sucks to be her	ham
Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.	ham
Do you know where my lab goggles went	ham
I went to ur hon lab but no one is there.	ham
Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?	ham
Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back	ham
Ok...	ham
Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.	ham
Ambrith..madurai..met u in arun dha marrge..remembr?	ham
I wanna watch that movie	ham
Just wondering, the others just took off	ham
Yeah get the unlimited	ham
its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?	ham
Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.	ham
Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.	ham
For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.	ham
Sorry, I'll call later in meeting.	ham
No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.	ham
If we hit it off, you can move in with me :)	ham
Yeah I can still give you a ride	ham
In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)	ham
Ok lor...	ham
When ü login dat time... Dad fetching ü home now?	ham
Yup but it's not giving me problems now so mayb i'll jus leave it...	ham
You were supposed to wake ME up &gt;:(	ham
Sorry, I'll call later	ham
I love your ass! Do you enjoy doggy style? :)	ham
Probably gonna be here for a while, see you later tonight &lt;)	ham
By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x	ham
Shall i ask one thing if you dont mistake me.	ham
Apo all other are mokka players only	ham
Wen did you get so spiritual and deep. That's great	ham
Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?	ham
Match started.india  &lt;#&gt;  for 2	ham
* You gonna ring this weekend or wot?	ham
Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!	spam
Not getting anywhere with this damn job hunting over here!	ham
Mm that time you dont like fun	ham
